"Bcell"	"MCL"	"BtoMCL_logFC"	"BtoMCL_adj.P.Val"	"combo.name"
"10253"	"1"	"1"	" 0.194912647"	"8.829380e-15"	"10253"
"25924"	"1"	"1"	"-0.142647123"	"1.393337e-14"	"25924"
"140733"	"1"	"1"	"-0.376766756"	"1.461986e-14"	"140733"
"5454"	"1"	"1"	" 0.063110547"	"1.096484e-14"	"5454"
"55840"	"1"	"1"	"-0.384885039"	"1.570837e-14"	"55840"
"6504"	"1"	"1"	"-0.218771794"	"1.558004e-14"	"6504"
"826"	"1"	"1"	" 0.103168725"	"1.570837e-14"	"826"
"51646"	"1"	"1"	"-0.202397668"	"1.593023e-14"	"51646"
"649"	"1"	"1"	"-0.069083636"	"1.558004e-14"	"649"
"79649"	"1"	"1"	" 0.054169355"	"1.497028e-14"	"79649"
"171017"	"1"	"1"	" 0.073640776"	"1.876291e-14"	"171017"
"25960"	"1"	"1"	" 0.117937985"	"1.570837e-14"	"25960"
"8530"	"1"	"1"	" 0.230356506"	"1.638584e-14"	"8530"
"5159"	"1"	"1"	" 0.128120652"	"1.688942e-14"	"5159"
"5480"	"1"	"1"	" 0.110959498"	"1.846505e-14"	"5480"
"85027"	"1"	"1"	" 0.126716270"	"1.628355e-14"	"85027"
"6484"	"1"	"1"	" 0.059747319"	"1.716385e-14"	"6484"
"64969"	"1"	"1"	" 0.072778325"	"2.299731e-14"	"64969"
"177"	"1"	"1"	" 0.066376564"	"2.546468e-14"	"177"
"84262"	"1"	"1"	" 0.105012085"	"3.272111e-14"	"84262"
"85013"	"1"	"1"	" 0.128111117"	"3.374828e-14"	"85013"
"7360"	"1"	"1"	"-0.114089670"	"3.739945e-14"	"7360"
"26301"	"1"	"1"	"-0.097218696"	"3.688956e-14"	"26301"
"55917"	"1"	"1"	" 0.096536076"	"3.266415e-14"	"55917"
"6397"	"1"	"1"	"-0.167666129"	"4.205184e-14"	"6397"
"3267"	"1"	"1"	"-0.075179750"	"4.323446e-14"	"3267"
"51149"	"1"	"1"	" 0.136525751"	"4.292051e-14"	"51149"
"7738"	"1"	"1"	" 0.114649459"	"4.121228e-14"	"7738"
"79962"	"1"	"1"	" 0.083583925"	"3.655296e-14"	"79962"
"2178"	"1"	"1"	" 0.073007431"	"4.205184e-14"	"2178"
"8343"	"1"	"1"	"-0.174785972"	"5.270906e-14"	"8343"
"7941"	"1"	"1"	" 0.235574578"	"3.958138e-14"	"7941"
"93650"	"1"	"1"	"-0.068058437"	"4.974556e-14"	"93650"
"8613"	"1"	"1"	" 0.199350936"	"4.839244e-14"	"8613"
"55314"	"1"	"1"	" 0.067315757"	"4.274751e-14"	"55314"
"1731"	"1"	"1"	" 0.151095248"	"5.366539e-14"	"1731"
"80279"	"1"	"1"	" 0.126650048"	"5.718774e-14"	"80279"
"327657"	"1"	"1"	"-0.265651150"	"5.994486e-14"	"327657"
"5795"	"1"	"1"	" 0.179621695"	"5.957043e-14"	"5795"
"475"	"1"	"1"	" 0.140972132"	"6.513637e-14"	"475"
"400941"	"1"	"1"	"-0.270941405"	"6.319437e-14"	"400941"
"79778"	"1"	"1"	" 0.130660530"	"5.957043e-14"	"79778"
"26526"	"1"	"1"	"-0.039858268"	"5.601149e-14"	"26526"
"22801"	"1"	"1"	"-0.044556066"	"6.142465e-14"	"22801"
"57658"	"1"	"1"	" 0.103167382"	"7.186562e-14"	"57658"
"23505"	"1"	"1"	"-0.076639955"	"7.911556e-14"	"23505"
"55657"	"1"	"1"	" 0.103443224"	"7.911556e-14"	"55657"
"80321"	"1"	"1"	" 0.120737429"	"6.746947e-14"	"80321"
"64773"	"1"	"1"	" 0.125234285"	"8.555523e-14"	"64773"
"93487"	"1"	"1"	"-0.096464249"	"9.339100e-14"	"93487"
"84128"	"1"	"1"	" 0.094698088"	"9.244064e-14"	"84128"
"79754"	"1"	"1"	"-0.235727054"	"1.034465e-13"	"79754"
"27329"	"1"	"1"	"-0.042605709"	"7.597834e-14"	"27329"
"9849"	"1"	"1"	" 0.098122648"	"8.922714e-14"	"9849"
"29974"	"1"	"1"	"-0.048984808"	"8.390005e-14"	"29974"
"4818"	"1"	"1"	" 0.255710607"	"8.069104e-14"	"4818"
"79036"	"1"	"1"	" 0.079157303"	"1.066427e-13"	"79036"
"5358"	"1"	"1"	" 0.190866895"	"1.118431e-13"	"5358"
"825"	"1"	"1"	" 0.175610937"	"1.044644e-13"	"825"
"84140"	"1"	"1"	" 0.116202486"	"9.489948e-14"	"84140"
"4046"	"1"	"1"	" 0.157855253"	"1.293168e-13"	"4046"
"4086"	"1"	"1"	" 0.179710447"	"1.000014e-13"	"4086"
"3627"	"1"	"1"	" 0.261405697"	"1.229073e-13"	"3627"
"4013"	"1"	"1"	" 0.120845226"	"1.174318e-13"	"4013"
"84973"	"1"	"1"	"-0.129643494"	"1.486853e-13"	"84973"
"6404"	"1"	"1"	" 0.105679610"	"1.491583e-13"	"6404"
"55105"	"1"	"1"	" 0.060102240"	"1.361376e-13"	"55105"
"51701"	"1"	"1"	"-0.126193699"	"1.800143e-13"	"51701"
"101929759"	"1"	"1"	"-0.142184468"	"1.719297e-13"	"101929759"
"27247"	"1"	"1"	"-0.122304700"	"1.985398e-13"	"27247"
"93550"	"1"	"1"	"-0.147310012"	"1.815355e-13"	"93550"
"22918"	"1"	"1"	" 0.126859650"	"1.547338e-13"	"22918"
"6233"	"1"	"1"	"-0.122106104"	"1.942465e-13"	"6233"
"1050"	"1"	"1"	" 0.149793824"	"1.836698e-13"	"1050"
"51188"	"1"	"1"	"-0.102194469"	"2.085183e-13"	"51188"
"58476"	"1"	"1"	"-0.188756495"	"2.069270e-13"	"58476"
"4646"	"1"	"1"	" 0.188021197"	"1.629968e-13"	"4646"
"5270"	"1"	"1"	" 0.263387019"	"2.180279e-13"	"5270"
"57142"	"1"	"1"	" 0.143517851"	"2.233194e-13"	"57142"
"90933"	"1"	"1"	" 0.098821679"	"2.118793e-13"	"90933"
"259"	"2"	"1"	"-0.067307006"	"2.208657e-13"	"259"
"8527"	"1"	"1"	"-0.132814340"	"2.406017e-13"	"8527"
"3552"	"1"	"1"	"-0.132882908"	"2.062686e-13"	"3552"
"9138"	"1"	"1"	" 0.135973793"	"2.370400e-13"	"9138"
"2517"	"1"	"1"	" 0.221814412"	"2.514044e-13"	"2517"
"6934"	"1"	"1"	" 0.129686519"	"1.895067e-13"	"6934"
